Campaign,Ad Group,Keyword,Match Type,Max CPC,Status
TAS | WP Help & Support | Search,WP Help - Generic,wordpress website help,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Help - Generic,wordpress help,Phrase,3.00,Enabled
TAS | WP Help & Support | Search,WP Help - Generic,help with wordpress website,Phrase,3.00,Enabled
TAS | WP Help & Support | Search,WP Help - Generic,wordpress expert help,Phrase,3.00,Enabled
TAS | WP Help & Support | Search,WP Help - Generic,wordpress assistance,Phrase,3.00,Enabled
TAS | WP Help & Support | Search,WP Customer Support,customer support for wordpress,Phrase,4.00,Enabled
TAS | WP Help & Support | Search,WP Customer Support,wordpress customer help,Phrase,4.00,Enabled
TAS | WP Help & Support | Search,WP Customer Support,wordpress customer service,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Customer Support,wordpress customer support,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Live Chat,live chat for wordpress,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Live Chat,wordpress customer service live chat,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Live Chat,live chat wordpress support,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Managed & Ongoing,wordpress managed services,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Managed & Ongoing,wordpress maintenance plan,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Managed & Ongoing,wordpress care plan,Phrase,3.50,Enabled
TAS | WP Help & Support | Search,WP Managed & Ongoing,manage my wordpress site,Phrase,3.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - General,fix wordpress error,Phrase,4.00,Enabled
TAS | WP Emergency Errors | Search,WP Errors - General,wordpress error fix,Phrase,4.00,Enabled
TAS | WP Emergency Errors | Search,WP Errors - General,fix my wordpress site,Phrase,3.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - General,wordpress not working,Phrase,3.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,error establishing a database connection,Phrase,4.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,wordpress white screen fix,Phrase,4.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,wordpress 500 internal server error,Phrase,4.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,wordpress internal server error fix,Phrase,4.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,wordpress critical error fix,Phrase,4.50,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,wordpress site down,Phrase,4.00,Enabled
TAS | WP Emergency Errors | Search,WP Errors - Specific,locked out of wordpress admin,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,GoDaddy WP,godaddy wordpress support,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,GoDaddy WP,godaddy wordpress help,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,GoDaddy WP,wordpress support godaddy,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,Bluehost WP,bluehost wordpress support,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,Bluehost WP,bluehost wordpress help,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,SiteGround WP,siteground wordpress support,Phrase,4.00,Enabled
TAS | Host-Branded WP Support | Search,SiteGround WP,siteground wordpress help,Phrase,4.00,Enabled
